plot_no,acaulospora_laevis,entrophospora_1,archaeospora_1,paraglomus_sp1,acaulospora_scrobiculata,acaulospora_cavemata,acaulospora_foveata,acaulospora_sp1,acaulospora_denticulata,acaulospora_sp2,acaulospora_sp3,archaeospora_sp2,gigasporales_sp1,gigaspora_sp1,glomerales_sp1,glomerales_sp2,glomerales_sp3,glomerales_sp4,glomerales_sp5,diversisporales_sp1,diversisporales_sp2,dentiscutata_sp1,gigasporales_sp2,gigaspora_sp2,gigaspora_sp3
CH1,54,0,12,0,30,0,0,16,0,0,0,0,0,0,100,0,23,0,0,0,0,0,0,11,0
CH2,149,0,0,0,0,9,0,0,0,0,0,0,0,0,101,80,0,58,0,0,0,0,0,0,13
CH3,80,6,0,0,0,0,0,11,0,0,0,0,0,0,42,0,46,0,0,10,0,0,16,0,20
CH4,30,0,14,0,0,5,24,0,0,0,0,0,0,0,95,0,0,0,0,0,22,0,0,14,0
CH5,68,0,0,0,0,0,11,0,0,0,0,0,0,0,40,47,0,0,0,0,0,0,0,4,0
CH6,34,0,20,0,0,6,12,0,0,0,0,0,0,0,0,34,5,0,0,0,0,0,12,0,8
CH7,20,7,5,0,0,7,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
CH8,250,0,0,30,0,0,0,6,0,0,0,0,0,0,0,40,31,20,0,0,0,0,0,0,0
CH9,154,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,10,6
CH10,91,0,32,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
CH11,16,0,14,0,5,11,0,0,0,0,0,0,0,0,48,41,24,0,0,0,0,0,0,0,0
CH12,220,0,0,0,0,0,161,0,0,0,0,0,0,33,99,70,0,0,0,0,0,0,27,0,0
NG1,104,42,9,0,0,0,0,0,0,0,0,8,24,0,0,50,0,44,0,0,0,0,22,0,0
NG2,115,0,0,0,0,0,41,0,28,0,0,0,0,6,56,39,0,0,0,0,0,17,0,0,0
NG3,14,8,5,0,0,0,4,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,8,0,0
NG4,68,25,0,0,0,0,0,0,0,0,0,0,12,12,16,5,0,0,0,0,0,0,0,0,0
NG5,17,4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,11,0,0
NG6,44,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,8,0,0
NG7,25,8,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
NG8,107,0,0,0,0,0,0,0,0,0,0,0,0,16,0,90,0,40,14,0,0,0,22,0,0
NG9,12,6,3,0,0,0,0,0,0,0,0,0,12,0,6,5,0,0,0,0,0,0,7,0,0
NG10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
NG11,16,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
NG12,15,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
FUR1,0,0,22,0,0,3,0,6,0,0,0,0,0,8,10,9,0,0,0,0,0,0,0,0,0
FUR2,11,0,18,0,0,0,0,10,0,12,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0
FUR3,101,0,35,0,0,12,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
